video_id,video_title,author_id,text_content,similarity_score
D5lYwEBwrR0,사교육 대책의 핵심 AI 디지털 교과서,@ciallang,"사교육은 대학교평준화 내신수능 절대평가 하는거 아닌이상 안없어짐. 수능과목 하향평준화한다고 될일이 아님. 사교육의 본질을 전혀 이해를 못하고있잖아.
그리고 AI 디지털교과서 거창한데 걍 애들 교실에서 인강듣게 하고 교사는 관리자로 두겠다는 거임. 바보인가? 좋은인강이 널려도 그걸 다 안듣는애들 천지고, 공부할 맘 있으면 인강있어도 굳이 번거롭게 현강듣는 이유가 뭐겠냐고. 
그리고 AI시대에도 문해력은 중요함. 그건 의사소통하려면 기본 능력이니까. 인간이 AI기술을 구현하고 구동하고 이해하려면 무엇보다 문해력이 중요함. AI가 그것까지 대신해줄수 있을거같냐. AI활용법은 굳이 시간써서 안가르쳐도 순식간에 배움.",0.76771235
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@user-lx9oh4id7j,"AI 디지털 교과서 도입에 대한 학생들의 다양한 의견을 듣게 되어 많은 생각이 들었어요(◍•ᴗ•◍)❤
디지털 시대에 발맞춘 AI 디지털 교과서가 미래 교육의 혁신을 가져올지에 대한 토론이 특히 인상 깊었어요

한쪽에서는 AI 디지털 교과서가 학생들에게 더 많은 정보를 제공하고, 학습의 효율성을 높일 수 있다는 의견이 있었어요
예를 들어, 개별 학습 속도에 맞춘 맞춤형 교육이 가능해져 학습 효과가 극대화될 수 있다는 점이었죠
반면, 다른 쪽에서는 디지털 교과서가 학생들의 집중력을 떨어뜨리거나, 종이 교과서만큼의 집중도를 유지하기 어렵다는 우려도 있었습니다 

학생들이 직접 자신들의 경험과 생각을 토대로 다양한 관점을 논의하는 모습이 정말 멋졌어요 👍 
이번 토론을 통해 AI 디지털 교과서에 대한 더 깊은 이해를 갖게 되었어요
한국교육의 미래를 위해 이런 논의가 지속적으로 이루어지길 기대합니다❤❤",0.7645099
kMRBxDBbUas,"AI디지털교과서 논란, 핵심이 무엇인지 딱 알려드립니다!(교육대기자)[이슈따라잡기]",@paperkidsa,AI를 연구 의료 산업 같은 분야에 써야지..초등 교육에 AI라니 세금을 소프트웨어 회사와 패드제조회사에 주려고 난리네요. 노벨 물리학상 노벨 화학상을 AI 개발자들이 받았다고 들었는데 우리나라는 초등교과서에 AI를 사용한다니.. 수준이 너무 낮아요. 덧셈 곱셈 체점하는데 쓰지말고 박사들 연구를 도와줄수 있는곳에 AI를 사용하길 바랍니다.,0.7641747
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@acanisijin,"AI 디지털교과서에 대한 학생들의 다양한 생각을 듣고 
함께 논의해볼 수 있어서 참 좋았던 것 같아요 도입되기 전 문제점에 대해서도 
심도 깊게 생각해보고 보완해나가면 참 좋을 것 같아요  ❤ ❤",0.7639491
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@paind9,"AI 디지털 교과서에 대한 각자의 생각을 논리적으로 표현하는 모습이 매우 인상적이었어요. 특히, 찬성과 반대 측의 입장이 균형 있게 다뤄져, 학생들이 현재 교육 체계에 대해 깊이 고민하고 있다는 것을 느낄 수 있었습니다. 다음 토론 주제로는 ""사교육 어디까지 허용해야 하는가?""를 제안하고 싶습니다. 요즘 학생들이 사교육에 많이 의존하는 경향이 있는데, 이는 학습 효과와 더불어 경제적 부담을 초래하기도 합니다. 이 토론을 통해 학생들이 사교육의 장단점에 대해 솔직한 의견을 나누고, 자신들의 경험을 바탕으로 공정한 교육 기회에 대해 논의하는 시간을 가질 수 있을 것 같아요. 이런 주제를 통해 학생들이 자신의 목소리를 더욱 잘 낼 수 있으며, 교육 정책에도 긍정적인 영향을 미칠 수 있다고 믿습니다. 다음에도 기대되는 교육 토론, 함께 만들어가요!",0.757695
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@Halal3928,"이번 '토론으로 알아보는 교육정책: AI 디지털교과서 AIDT편' 영상을 정말 흥미롭게 감상했습니다! 다양한 의견이 오가는 가운데 찬성측과 반대측의 주장이 균형 있게 제시되어, AI 디지털 교과서의 필요성과 우려를 동시에 살펴볼 수 있었던 점이 인상적이었습니다. 특히, 맞춤형 교육의 가능성과 디지털 격차에 대한 논의가 매우 중요하다고 느꼈어요.
학생 맞춤 교육이 가능하다는 찬성측의 주장은 정말 매력적이지만, 반대측의 우려처럼 교육 격차가 커질 가능성에 대해서도 심각하게 고민해야 한다는 생각이 듭니다. 디지털 기기의 활용이 교육에 큰 변화를 가져올 수 있지만, 그로 인해 발생할 수 있는 부작용을 해결하기 위한 사회적 합의와 준비가 필요하다는 점을 잊지 말아야 할 것 같습니다.
이러한 심도 있는 토론을 통해 교육 정책에 대한 다양한 시각을 이해하고, 더욱 나은 미래 교육을 위해 어떤 방향으로 나아가야 할지 고민하게 되는 시간이었습니다. 
그리고 다음에 토론하면 좋을 교육정책은 직업 교육 및 진로 탐색 프로그램 강화입니다.
학생들이 조기에 직업 세계에 대한 이해를 높이는 것이 중요하긴 하지만, 이러한 프로그램이 과연 학생들에게 긍정적인 영향을 줄지 고민해봐야 합니다. 일찌감치 직업을 선택하도록 유도하는 것이 오히려 학생들의 다양한 가능성을 제한할 수 있다는 생각이 드네요.
특정 직업에 대한 교육을 받으면서 다른 분야에 대한 호기심이나 관심이 사라질 수 있지 않을까 걱정이 됩니다. 각 학생이 자신의 진로를 탐색할 기회를 잃게 되는 건 아닌지, 그런 점에서 더 유연하고 다양한 경험을 제공할 수 있는 프로그램이 필요하다고 생각합니다. 그래서 직업 교육이 학생들에게 다양한 직업을 탐색하면서 자신이 진정으로 원하는 길을 찾아갈 수 있는 기회를 줄 수 있도록 하는 방향으로 토론하면 좋겠어요.",0.75644714
MgRCJjhSISs,"[이슈] 베일 벗은 AI 디지털교과서…1대1 맞춤형 학습 가능/'교육 격차' 줄인다지만…""문해력 저하·준비 부족""/2024년 12월 2일(월)/KBS",@abcdeabcde-c2d,인공지능 디지털 패드가 넘쳐납니다. 초등.중등.고등. 이미 공교육보다 앞서서 사교육시장에서 판쳐요. 이걸 공교육으로 가져온게 더 이상합니다.아이들에 디톡스를 시켜야 할때 집이나 학교나 죄다 디지털기기..학부모들은 대부분 반대합니다.,0.7553048
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@팝콘처럼,급변하는 디지털시대에 고등학생 패널들의 다양한 관점에서 AI 디지털 교과서에 대한 서로의 생각과 의견을 듣고 AI 디지털 교과서에대해 생각해보는 좋은 시간이었습니다 다음은 온라인교육과 오프라인 교육에 대해 토론하는 시간을 가져보는것도 좋을듯합니다,0.7533651
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@노미자-f9j,"다양한 학생들의 AI 디지털교과서에 대해 어떻게 생각하는지 알 수 있는 기회였어요. 다양한 관점에서 생각할 수 있다는 생각이 들더라구요. 
요즘 학생들의 선행 학습이 어떻게 이뤄지고 있는지 궁금합니다. 이에 관련해서 토론을 해주면 유익하고 재미있을 것 같아요. !!
앞으로의 소식과 활동들도 기대할게요.",0.75073427
-ZUoWn6uvlc,(수업시연) AI 디지털교과서가 찾아왔어요 ㅣ 초등학교 4학년 수학,@abyssalvoyage,"이 영상을 보고 많은 생각이 들었습니다. AI 디지털 교과서가 기존 수업 방식에 비해 학생들에게 맞춤형 학습 경험을 제공할 수 있다는 점은 분명 흥미롭고 장점이 될 수 있지만, 영상에서 소개된 일부 기능들이 얼마나 현장에서 실효성을 가질지에 대한 의문도 생깁니다. 특히 초등학생들에게 적합한 도구로 사용될 경우, 기계에 의존한 학습이 오히려 창의력과 협동 능력을 저하시킬 위험은 없는지 고민하게 되네요.
영상 속 4명만 참여한 시연 장면도 실제 교실 상황과는 거리가 멀어 보였습니다. 다양한 학급 규모에서의 시범 운영 결과를 더 투명하게 공개해 주었더라면 이해와 신뢰가 더 높아지지 않았을까 싶습니다. 디지털 기기 도입이 아이들에게 긍정적인 영향을 주려면 단순히 기술적 가능성을 넘어, 학생 개개인의 학습 환경과 실제 교사들의 역할 변화까지 고려한 종합적인 접근이 필요해 보입니다.
부디 도입 과정에서 충분한 검토와 의견 수렴을 통해 실질적인 효과와 공감대를 이끌어내는 방향으로 나아가길 바랍니다. AI가 모든 걸 해결하기보다는 교사의 지도를 보완하고, 아이들이 스스로 탐구할 수 있는 도구로 자리 잡는다면 더 의미 있는 변화가 될 것 같아요.",0.75046325
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@ole_ole_oo,"서로 토론을 통해 AI 디지털교과서 도입에 대한 정보를 알려주고 각자의 생각을 볼 수 있었네요
시간이 걸리더라도 어쩔 수 없이 AI 디지털교과서가 도입 될 수 밖에 없어 보이네요
토론을 통해 관련한 유용한 정보 많이 알려주셔서 많은 분들 보고 더 관심을 가지는 기회가
될거라 생각이 들고 교육정책에 대한 토론을 통해 더 많은 분들이 교육정책 알렸으면 좋겠네요",0.7496684
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@아크훈,"AI 디지털 교과서에 대한 고등학생들의  교과 토론으로 유익한 시간보냈습니다
이용자의 목소리를 경청하고 투명하고 공정하게 행동
언제나 함께하며 힘차게 응원할게요 
초심을 잃지않고 꾸준히 진보하여 끝을 보았으면 합니다
앞으로의 향후를 기억합니다 이용자와 소통하는 장을 만들어주세여
전통을 오래도록 이어갔으면 좋겠습니다
앞으로도 유익하고 좋은 소식과 정보 많이 많이 전해주세요
많은 분들에게 즐거움과 함께 힐링을 주는 공간으로 
우리 꽃길만 걷기를 응원합니다",0.74718356
ZOp_tXkpPH0,[단독] 말 많고 탈 많은 'AI 교과서'…교육자료로도 못 쓴다? / SBS 8뉴스,@아무고나-f3r,AI디지털 교과서에..실제 AI있나..걍 AI없고 디지털만이지..정해진 루틴대로 출력하는게 무슨 AI야..실제 AI면..학생 성취결과에 맞게 레벨 맞춰줘서 다음 단계로 진행하게 해줘야하는게..그게 있을리가 없고,0.7469475
-ZUoWn6uvlc,(수업시연) AI 디지털교과서가 찾아왔어요 ㅣ 초등학교 4학년 수학,@윤종인-d2y,"AI 디지털 교과서의 가장 큰 장점은 학생 개개인의 학습 요구에 맞춰 진행 상황을 모니터링하고 개인화된 경험을 제공한다는 점입니다. 이를 통해 학생들은 자신의 속도로 학습하고 필요한 부분에 집중하여 더욱 효율적인 학습을 할 수 있습니다. 특히 힌트와 오답노트를 활용한 맞춤형 학습 지원이 인상적이었습니다. 그러나 현재 대한민국에서는 디지털 교과서 도입이 다소 이른 감이 있습니다. 학부모로서 충분한 검증과 보완이 이루어진 후에 도입되기를 바랍니다. 기술적 및 콘텐츠적 개선이 필요하므로, 앞으로도 지속적인 발전을 통해 더 나은 교육 환경을 만들어 주시기를 바랍니다. 디지털 교과서가 학교 교육에 적극 도입될 때, 학생들에게 큰 도움이 되기를 기대합니다!😊😊",0.7441484
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@kds4885,AI 디지털교과서에 대한 토론 잘봤습니다. 학생들의 열기가 느껴지네요. AI의 장단점까지 학습은 변화 되겠죠. 다음은 입시 방식에 대해 이야기 하면 좋을거 같아요.,0.7432904
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@루나양,영상을   통해   AI 디지털교과서에 대한 학생들의 다양한 의견을   알수있어   참  좋은  영상이엤어요      다음에는     이런 AI가  우리 사회에 미치는    영향등에 대해서도      우리 학생들과  같이   심도 잇게     고민해보고   싶네요,0.74286926
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@user-qt6hg2xy9j,"AI 디지털교과서에 대해 찬성과 반대로 토론 잘 보았습니다. 학생들의 생각의 깊이와 준비성이 엄청나군요 다음에 토론하면 좋을 것으로 자유학기제 유지해야할지 폐지해야할지 다루면 좋을것 같아요. 학력저하가 굉장히 큰 문제로 대두되는데, 자유학기제로 인한 것도 크다는 의견이 있어서요 어떻게 생각하는지 궁금하네요",0.74250555
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@노오란-e9k,"미래 교육의 혁식 AI 디지털교과서에 대해 학생들의 다양한 의견 들을수 있어서 좋은 시간이었습니다!!!
다음시간에는 아이돌에 너무 집착하고 빠져있는 학생들에 대한 여러가지 입장차이 들으면 좋은 시간 될것 같아요^✅",0.7416807
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@티니-b5c,미래의 교육에서 AI가 차지할 역할은 어떻게 변화할지에 대한 토론도 좋을것같아요!,0.74152327
OcFXKUxiskw,AI디지털교과서로 공부하면 벌어지는 일 / 내년 수업 방식에 미리 대비해야 하는 이유,@CrazyACatAde,"어린 아이들은 디지털교과서 안쓰는게 훨 낫습니다. 아무리 봐도 장점보다 단점이 많죠. AI로 맞춤 학습하는거.. 조금 수동적이긴 한데 EBS에서 맞춤 설계 가능하고 내용도 확인할 수 있고요. 하지만 쓰기가 약한 아이들 읽기가 약한 아이들에게는 쥐약이죠. 읽는 법을 디지털에만 맞추게 되면 글쎄요. 

고등학생이면 모를까 중학생까지는 별로 입니다. 
선생님이 보조로 활용하시면 상당히 좋겠지만 지금 교사분들도 내용을 잘 모르시잖아요. 내년되면 음...내년은 너도나도 실험만 하다 끝납니다. 
코로나19 비대면 수업도 1년을 지지고 볶았습니다. 
ㅠ ㅠ 
굳이 교과서를 디지털로 해야하는 까닭을 사실 모르겠습니다. 나와있는 것을 잘 이용하는 것도 중요한데 그것조차 손을 못대는데요.",0.7408892
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@winsmin-s5j,미래 교육 AI 디지털 교과서에 대해 학생들의 다양한 의견을 직접 들어볼 수 있어서 좋네요. 교육 정책에는 학생과 교원 등 다양한 의견들이 들어가야 더 좋은 쪽으로 의견이 모일 수 있을 것 같습니다. 앞으로도 다양한 콘텐츠 응원합니다.,0.74065876
YWw1QP4l3QQ,"새학기 두 달 앞두고 AI교과서 좌초 위기...""재의요구 건의"" / YTN",@totolim2230,AI 교과서 반대!,0.74027324
-ZUoWn6uvlc,(수업시연) AI 디지털교과서가 찾아왔어요 ㅣ 초등학교 4학년 수학,@이형진-d6l,5:07  디지털 교과서로 끝이 아닌 교육 내용으로 토론하고 의겨나누는 모습이 요즘 아이들은 당차고 야무지다라는 느낌을 받았습니다  AI 디지털 교과서 화이팅 입니다,0.7385593
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@hoony39,"AI 디지털교과서에 대한 학생들의 생각을 들을수 있어서 너무 좋았어요 
학생들의 다양한 생각과 의견을 나누고 들려주는 모습이 앞으로의 교육 방향을 잡는데 큰 도움이 될 거 같아요
다음 토론 주제는 사교육 어디까지 허용해야 되는지에 대해 이야기 나누면 좋겠습니다",0.73833823
QqBYIYTDHuQ,AI 디지털교과서' 어떻게 쓰나?…영어·수학 수업 참관해 보니｜지금 이 뉴스,@HibikeQuantum,맨날 AIAI 하길래 뭔가봤더만 그냥 디지털화된 교실인거네 에효 이거 가지고 무슨 AI에이전트 시대를 대비함?,0.73474807
D5lYwEBwrR0,사교육 대책의 핵심 AI 디지털 교과서,@뭉쳐야산다_00,아 AI 디지털 교과서가 두종류군여 교과서가 전부 전자책만 있는줄 알고 반대 했는데 그게 아니었군요 외국 학교에서는 학교에서 수업시간에 패드를 각 학생한테 제공 해요 그래서 그걸로 학교네서 앱으로 문제도 풀고 이어폰 꽂고 발음도 듣고 공부해요 보편화 되어 있어요 아마 이주호 장관님이 말씀하시는 건 그걸 말하는것 같네요,0.7331075
-ZUoWn6uvlc,(수업시연) AI 디지털교과서가 찾아왔어요 ㅣ 초등학교 4학년 수학,@FEAR_of_GOD_1,"점차 늘리는게 아니라 일괄변경으로 밀어부치는 이유도 설명이 필요할거 같고
시범학교 선정이 먼저인거 같은데 시범을 다양하게 해보시고 다양한 사례를 올려주세요
이게 집에서하는 AI학습기계랑 다를게 뭔지도 잘 모르겠고 선생님들이 별도의 수업준비 안해도 된다는 설명은 선생님들의 찬성을 유도하기위한 것인가요?
그리고 이거 사용하다 아이들이 고장이나 파손시켰을 경우 누가 배상하나요?",0.73139006
D5lYwEBwrR0,사교육 대책의 핵심 AI 디지털 교과서,@쩡이이모의樂,"1:1교습소도 아니고, 교사들이 지금도 한 반 안에서 수준격차때문에 수업진행을 어려워하는데요...  다수를 상대하시는 우리 선생님들의 교육적인 측면에서 AI 학습이 정말 다 아우를 수 있으리라 생각하십니까? 정말 이게 격차를 줄이고 사교육을 줄여줄까요? 한 아이는 중1 수준이고 한 아이는 초3수준인 초 6 교실에서 개인 맞춤화된 교과서를 통해 수업을 진행하려면 그 아이 각.각. 다 교사가 파악하고 과제, 수업진행을 각.각. 다 짚어주셔야 합니다. 대략 1시간 안에서 30명 가까이 되는 아이들을 한명한명 다 체크 하면서 수업진행이 될꺼라 생각하시나요? 시범진행학교 데이터 있으십니까ㅡ? 우리 학원선생님들도 어려워하실겁니다. 직접 3개월간 수업 해보시고 추진해보세요. 초등학교 선생님들 업무 무덤으로 밀어넣고 교육질을 떨어뜨릴겁니다.",0.7302959
1dR6POZYN50,“AI디지털교과서 손본다”… 98% 도입 대구 운명은?ㅣTBC뉴스,@renei6716,"대구는  역시  답이  없다.
AI 교과서는   아이들을  생각할 힘을  없애는   바보로...미래를  바보로  만들겠다는거다.   학부모의  한  사람으로 AI교과서는     적극    반대!",0.7302571
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@이건호-j1e,학생들이 토론하는거 잘 들었습니다 학생들의 AI 디지털 교과서에 관한 생각이 굉장히 다양하고 깊네요 앞으로도 좋은 영상 부탁드립니다,0.7295512
VRyVZG_q8SQ,종이 없는 AI 디지털 교과서 시대 열린다 [AI 교과서 도입]① [9시 뉴스] / KBS  2024.03.14.,@yuikim1031,애들 집중력 떨어지고 충동성 강해져요. 전자파랑 디지털에 저렇게 노출해서 득보다 실이 큰 걸 알면서도 진행하는 저의가 뭔지. 디지털 AI도 단점이 엄청 큰데 그걸 무시하고 장점이 있는 척 하는 거 좀 그만해라. 교사도 아이들도 싫어한다. 종이교과서 손글씨 읽고 쓰고 말하는 시대로 돌아가자. 전자파 계속 노출되면 면역력 떨어진다. 문해력도 정말 처참하다.,0.7281862
e1B7xhJgg28,AI 디지털교과서 반년 만에 퇴출‥교육계는 혼란 (2025.08.07/뉴스데스크/제주MBC),@성이름-x9c7q,"AI시대는 중요하지만 모든걸 다 디지털화 할필요는 없음. 아이들 가뜩이나 스마트폰 중독인데 교과서까지 탭으로 하는게 어질어질함
글씨를 쓰고 책을 보는건 굉장히 중요하다.. 전자책이랑 실물책을 병행해서 읽던가 해야지..",0.72745734
ZOp_tXkpPH0,[단독] 말 많고 탈 많은 'AI 교과서'…교육자료로도 못 쓴다? / SBS 8뉴스,@서랑이-v6h,"대통령은 소버린AI 하겠다고 하던데 AI교과서는 팽? 윤가 때 시작했든 뭐든 AI로 수준별 교육했을 때 학생들 학업성취도에 큰 도움이 됐다는 자료들도 있고, 교육의 빈부격차 해소에도 도움이 된다는 이야기도 많은데? 이미 사교육 시장에선 AI 개발하고 있는데 또 정치놀음에 뒷걸음질 치는 거냐? 붕당도 아니고 ㅉㅉ",0.72724354
D5lYwEBwrR0,사교육 대책의 핵심 AI 디지털 교과서,@yy-no2sg,"선생님이 아이들을 파악해야지 AI가 하면 선생님이 왜 필요하냐
반대야반대
더이상의 미디어는 아이들을 망친다",0.726769
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@zzazzala3,"AI 디지털 교과서를 주제로 한 토론 영상을 너무 흥미롭게 잘 봤습니다.
과거에는 교재와 교사가 중심이 되어 지식을 전달하는 방식이 주를 이루었다면, 이제는 AI와 디지털 도구들이 학습의 패러다임이 변화된다는건 자연스러운 변화라고 생각해요.
특히 고등학생 패널들이 직접 참여해 찬성 측과 반대 측으로 나뉘어 자신들의 의견을 개진하고 설득과 경청, 공감을 통해 서로의 주장을 주고받는 과정을 들으면서 서로의 의견도 일리가 있다는게 느껴지지만 저는 찬성에 한 표를 주고 싶네요.
앞서 말했듯이 교육의 변화는 필연적이며, 이번 주제인 AI 디지털 교과서를 통해서 학생 개개인의 맞춤형 교육을 가능하게 하고, 데이터를 통해 학습 성향을 파악하여 더 효과적인 수업 설계를 할 수 있다는 점에서 미래 교육으로 나아가는 출발점이 될 것 같아요.. 디지털 교과서로 학습자의 다양성을 반영하고 효율적인 교육, 그리고 자신이 원하는 교육까지 배울 수 있다는게 가장 큰 장점!
이번 토론도 너무 재미있게 시청했습니다.

다음에는 고교학점제와 관련된 토론이 있었으면 좋겠습니다.
대학처럼 자기주도로 원하는 수업을 선택할 수 있다는 점에서 학생들의 학습 동기와 진로 설계에 큰 도움이 될 수 있을 것 같습니다
하지만, 학교 간 자원 불균형과 과목 선택에 따른 학습 격차, 교사의 수업 준비 부담 등 여러 문제점도 제기되고 있는만큼 이 주제를 토론으로 학생들의 자기주도적 학습 능력을 강화하면서도, 공정성과 실효성을 어떻게 보장할지에 대해 깊이 있는 이야기를 나눠보았으면 좋겠어요.",0.72589576
JC35hy4u1mo,"AI 디지털교과서(AIDT), 도입해야할까? ｜토론으로 알아보는 교육정책",@sorrjj,"AI 디지털 교과서에 대한 다양한 관점에 대해 생각의 폭이 넓어지는 것 같아서 좋네요. 다음 토론에서는 암기식 교육이 과연 필요한가에 대한 토론을 하면 좋을 것 같아요. AI가 득세하는 시대에 과연 암기식 성취도 평가가 필요한지에 대해 논쟁하면 재미있을 것 같아요. 즉, 줄세우기교육으로 무얼 할 수 있을지 토론해보면 좋을 것 같아요.",0.7248409
D5lYwEBwrR0,사교육 대책의 핵심 AI 디지털 교과서,@hwi_ba_hwiba,"AIDT 종류별로 보셨나요? 상상속에 AI를 이야기하시는 것만 같은 비현실적인 논리

잘함과 매우잘함 그 사이 어딘가에 있는 아이들이 “점검”,“확인”하기위해서 총정리 수준별로 상중하 나눠진 디지털교과서라고 생각이 드는데요

기초확립이 필요한 학생들에게는 절대 권장하고 싶지 않은/ 교육자료로라도 말이죠

이게 최선으로 만들어진 거 맞는지요??",0.72286904
